Name,ZoneID,纬度,经度,可达性,归一化结果,,,,,,,,,,,
万春镇,130,30.75324999,103.8092151,394743,-0.487424833,,,,,,,,,,,
金马镇,131,30.63786239,103.8231758,471879,0.010265311,,,,,,,,,,,
肖家河街道,132,30.62812968,104.0387808,590021,0.772530777,,,,,,,,,,,
火车南站街道,133,30.61568467,104.0697271,586227,0.748051462,,,,,,,,,,,
双楠街道,134,30.64511666,104.031327,593975,0.798042429,,,,,,,,,,,
晋阳街道,135,30.64993332,103.9997219,586708,0.751154928,,,,,,,,,,,
玉林街道,136,30.63584566,104.0590839,594434,0.801003949,,,,,,,,,,,
红牌楼街道,137,30.63860848,104.0192917,591055,0.779202261,,,,,,,,,,,
机投桥街道,138,30.64774766,103.9796666,582515,0.724101221,,,,,,,,,,,
跳伞塔街道,139,30.63533462,104.068829,594313,0.800223243,,,,,,,,,,,
石羊场街道,140,30.58351737,104.041605,573844,0.668154954,,,,,,,,,,,
浆洗街街道,141,30.64682132,104.0469939,595800,0.809817534,,,,,,,,,,,
金花桥街道,142,30.61677716,103.9695482,570086,0.643907915,,,,,,,,,,,
望江路街道,143,30.63528097,104.0807191,593246,0.793338839,,,,,,,,,,,
华兴街道,144,30.60390403,104.0129038,579628,0.705473972,,,,,,,,,,,
簇锦街道,145,30.62366228,103.9909927,581693,0.718797584,,,,,,,,,,,
芳草街道,146,30.62100926,104.0480344,587813,0.758284512,,,,,,,,,,,
簇桥街道,147,30.61513189,103.977014,573403,0.665309572,,,,,,,,,,,
桂溪街道,148,30.56390062,104.0548651,551892,0.526518182,,,,,,,,,,,
三河街道,149,30.7695351,104.1509325,539155,0.444337626,,,,,,,,,,,
新繁镇,150,30.88278786,103.9912684,406782,-0.409747851,,,,,,,,,,,
大丰街道,151,30.76834506,104.056251,580482,0.710984076,,,,,,,,,,,
新都镇,152,30.82653067,104.1752834,442429,-0.1797494,,,,,,,,,,,
新民镇,153,30.89782143,104.0935459,354847,-0.74483831,,,,,,,,,,,
清流镇,154,30.93368144,104.0167507,257901,-1.370344801,,,,,,,,,,,
龙桥镇,155,30.83255628,104.0238304,500270,0.193447235,,,,,,,,,,,
军屯镇,156,30.89815454,104.1572746,317240,-0.987482902,,,,,,,,,,,
石板滩镇,157,30.72535518,104.2639338,457752,-0.080883681,,,,,,,,,,,
马家镇,158,30.85758683,104.1188757,424255,-0.297010091,,,,,,,,,,,
泰兴镇,159,30.78601942,104.2299453,443988,-0.169690557,,,,,,,,,,,
木兰镇,160,30.74595963,104.2009207,509511,0.253071206,,,,,,,,,,,
斑竹园镇,161,30.83198726,104.0721706,493899,0.152340826,,,,,,,,,,,
